Date,DailyMeanLevel,ReservoirEffectiveStorage,DailyMeanRainfall,Inflow,Outflow,Netflow,NanshiFlow,TotalRawWaterVolumeOfNanshiAndBeishi
2017/2/14,163.5,277.41,0,"604,860","1,624,860","-1,020,000","1,069,200","2,694,060"
2017/2/15,163.36,276.252,0,"475,000","1,917,000","-1,442,000","1,034,640","2,951,640"
2017/2/16,163.2,274.903,0,"532,492","1,632,492","-1,100,000","997,920","2,630,412"
2017/2/17,163.06,273.722,0.2,"485,472","1,922,472","-1,437,000","976,320","2,898,792"
2017/2/18,162.9,272.315,0.7,"490,372","1,923,372","-1,433,000","946,080","2,869,452"
2017/2/19,162.73,270.928,0.1,"457,480","1,635,480","-1,178,000","920,160","2,555,640"
2017/2/20,162.59,269.706,2,"570,304","2,081,304","-1,511,000","885,600","2,966,904"
2017/2/21,162.41,268.241,5.4,"535,000","1,791,000","-1,256,000","930,960","2,721,960"
2017/2/22,162.27,267.026,15.3,"724,984","1,644,984","-920,000","1,010,880","2,655,864"
2017/2/23,162.16,266.117,6.1,"640,456","1,641,456","-1,001,000","1,035,000","2,676,456"
2017/2/24,162.09,265.526,33.3,"1,554,436","1,220,436","334,000","1,208,160","2,428,596"
2017/2/25,162.32,267.516,43,"4,608,000",0,"4,608,000","2,357,640","2,357,640"
2017/2/26,163.05,273.633,20.7,"6,167,000",0,"6,167,000","3,301,200","3,301,200"
2017/2/27,163.61,278.403,0.5,"3,405,000",0,"3,405,000","2,451,600","2,451,600"
2017/2/28,163.91,280.95,0.9,"2,051,000",0,"2,051,000","1,974,960","1,974,960"
2017/3/1,164.1,282.508,1,"1,440,276","327,276","1,113,000","1,706,400","2,033,676"
2017/3/2,164.18,283.269,0.1,"1,083,016","740,016","343,000","1,552,320","2,292,336"
2017/3/3,164.2,283.39,0,"1,005,744","1,605,744","-600,000","1,471,680","3,077,424"
2017/3/4,164.14,282.854,0,"862,056","1,033,056","-171,000","1,389,960","2,423,016"
2017/3/5,164.1,282.53,0,"832,440","1,603,440","-771,000","1,328,040","2,931,480"
2017/3/6,164.04,282.03,16.2,"1,123,196","1,037,196","86,000","1,407,600","2,444,796"
2017/3/7,164.02,281.834,10.3,"946,584","1,288,584","-342,000","1,435,680","2,724,264"
2017/3/8,164.03,281.973,12.8,"1,342,540","486,540","856,000","1,954,800","2,441,340"
2017/3/9,164.16,283.09,3.6,"1,371,000",0,"1,371,000","2,217,600","2,217,600"
2017/3/10,164.41,285.213,37.2,"3,528,000",0,"3,528,000","2,219,040","2,219,040"
2017/3/11,164.97,290.059,6.3,"5,024,000",0,"5,024,000","2,526,480","2,526,480"
2017/3/12,165.42,293.926,0.1,"2,877,000",0,"2,877,000","2,295,720","2,295,720"
2017/3/13,165.64,295.861,2.2,"2,122,500","1,597,500","525,000","2,048,040","3,645,540"
2017/3/14,165.68,296.215,8.6,"1,856,692","1,594,692","262,000","1,901,520","3,496,212"
2017/3/15,165.69,296.284,0.1,"1,509,564","1,596,564","-87,000","1,746,720","3,343,284"
2017/3/16,165.67,296.124,13.3,"1,636,288","2,160,288","-524,000","1,734,480","3,894,768"
2017/3/17,165.61,295.65,3.7,"1,726,636","2,163,636","-437,000","1,789,200","3,952,836"
2017/3/18,165.54,295.06,0.1,"1,378,996","2,163,996","-785,000","1,651,680","3,815,676"
2017/3/19,165.46,294.333,2.4,"1,467,580","2,165,580","-698,000","1,575,360","3,740,940"
2017/3/20,165.37,293.498,0,"1,209,884","2,167,884","-958,000","1,471,680","3,639,564"
2017/3/21,165.27,292.616,4.3,"1,166,928","1,601,928","-435,000","1,470,960","3,072,888"
2017/3/22,165.2,292.058,1,"995,296","1,603,296","-608,000","1,442,160","3,045,456"
2017/3/23,165.14,291.493,2.1,"995,288","1,602,288","-607,000","1,392,480","2,994,768"
2017/3/24,165.06,290.82,0,"911,376","1,604,376","-693,000","1,317,600","2,921,976"
2017/3/25,164.99,290.155,16.6,"997,448","1,604,448","-607,000","1,331,280","2,935,728"
2017/3/26,164.99,290.173,15.6,"2,125,384","1,605,384","520,000","2,117,520","3,722,904"
2017/3/27,165.03,290.513,0.1,"1,691,088","1,604,088","87,000","1,729,440","3,333,528"
2017/3/28,165.01,290.412,0,"1,433,212","1,606,212","-173,000","1,526,400","3,132,612"
2017/3/29,164.97,290.043,0,"1,085,024","1,605,024","-520,000","1,422,720","3,027,744"
2017/3/30,164.91,289.487,0,"1,002,400","1,607,400","-605,000","1,370,880","2,978,280"
2017/3/31,164.84,288.882,22.3,"1,086,924","1,605,924","-519,000","1,380,960","2,986,884"
2017/4/1,164.85,289.015,13.3,"2,125,716","1,606,716","519,000","2,055,600","3,662,316"
2017/4/2,164.87,289.181,0.3,"1,520,752","1,606,752","-86,000","1,639,440","3,246,192"
2017/4/3,164.84,288.907,0,"1,173,860","1,606,860","-433,000","1,475,280","3,082,140"
2017/4/4,164.78,288.417,0,"1,089,616","1,607,616","-518,000","1,414,800","3,022,416"
2017/4/5,164.71,287.783,0.1,"917,696","1,608,696","-691,000","1,345,680","2,954,376"
2017/4/6,164.62,287.057,0.2,"834,756","1,611,756","-777,000","1,285,200","2,896,956"
2017/4/7,164.53,286.256,0.6,"752,124","1,613,124","-861,000","1,197,360","2,810,484"
2017/4/8,164.43,285.398,0.1,"753,988","1,613,988","-860,000","1,157,040","2,771,028"
2017/4/9,164.32,284.467,0,"671,076","1,616,076","-945,000","1,110,960","2,727,036"
2017/4/10,164.2,283.419,0,"689,384","1,632,384","-943,000","1,068,480","2,700,864"
2017/4/11,164.08,282.416,4.5,"704,780","1,902,780","-1,198,000","1,045,440","2,948,220"
2017/4/12,163.98,281.503,26.3,"1,021,784","1,619,784","-598,000","1,251,360","2,871,144"
2017/4/13,163.92,281.018,12.1,"1,194,476","1,621,476","-427,000","1,654,560","3,276,036"
2017/4/14,163.86,280.527,0,"1,022,036","1,620,036","-598,000","1,522,080","3,142,116"
2017/4/15,163.79,279.89,0.1,"850,264","1,617,264","-767,000","1,334,160","2,951,424"
2017/4/16,163.7,279.169,7.3,"1,028,140","1,624,140","-596,000","1,349,280","2,973,420"
2017/4/17,163.61,278.388,0.1,"783,372","1,635,372","-852,000","1,473,840","3,109,212"
2017/4/18,163.51,277.541,0.4,"791,060","1,641,060","-850,000","1,316,880","2,957,940"
2017/4/19,163.4,276.606,7.9,"960,296","1,639,296","-679,000","1,280,160","2,919,456"
2017/4/20,163.32,275.91,5.5,"861,176","1,624,176","-763,000","1,320,480","2,944,656"
2017/4/21,163.31,275.832,79.1,"5,022,248","1,624,248","3,398,000","2,625,480","4,249,728"
2017/4/22,164.22,283.625,21,"8,895,240","1,614,240","7,281,000","5,922,000","7,536,240"
2017/4/23,164.74,288.039,0.3,"4,629,192","1,608,192","3,021,000","5,382,000","6,990,192"
2017/4/24,164.95,289.888,0.5,"3,016,656","3,016,656",0,"3,722,400","6,739,056"
2017/4/25,164.61,286.918,1.7,"2,611,876","6,837,876","-4,226,000","2,930,400","9,768,276"
2017/4/26,164.15,282.944,18,"2,422,508","4,568,508","-2,146,000","3,522,600","8,091,108"
2017/4/27,164.2,283.447,25.2,"2,817,220","1,616,220","1,201,000","5,029,200","6,645,420"
2017/4/28,164.39,285.029,0,"3,158,504","1,611,504","1,547,000","4,917,600","6,529,104"
2017/4/29,164.51,286.083,0.1,"2,216,844","1,613,844","603,000","3,231,000","4,844,844"
2017/4/30,164.54,286.345,0,"1,614,456","1,614,456",0,"2,830,320","4,444,776"
2017/5/1,164.46,285.682,0,"1,526,304","3,332,304","-1,806,000","2,635,200","5,967,504"
2017/5/2,164.24,283.78,0.9,"1,365,884","3,337,884","-1,972,000","2,355,120","5,693,004"
2017/5/3,164,281.721,1.3,"1,205,032","3,343,032","-2,138,000","2,138,400","5,481,432"
2017/5/4,163.75,279.528,0,"1,130,748","3,347,748","-2,217,000","1,937,520","5,285,268"
2017/5/5,163.52,277.587,18.9,"1,480,440","3,349,440","-1,869,000","2,964,240","6,313,680"
2017/5/6,163.24,275.19,0.6,"1,060,408","3,768,408","-2,708,000","2,849,400","6,617,808"
2017/5/7,162.93,272.628,0.2,"978,684","3,339,684","-2,361,000","2,328,840","5,668,524"
2017/5/8,162.75,271.093,1.1,"724,376","1,145,376","-421,000","1,931,400","3,076,776"
2017/5/9,162.7,270.662,0.1,"639,980","1,144,980","-505,000","1,637,280","2,782,260"
2017/5/10,162.64,270.185,0.1,"724,548","1,144,548","-420,000","1,541,520","2,686,068"
2017/5/11,162.59,269.684,9.7,"724,152","1,144,152","-420,000","1,974,240","3,118,392"
2017/5/12,162.55,269.425,3.6,"891,972","1,143,972","-252,000","2,096,640","3,240,612"
2017/5/13,162.52,269.16,5.1,"808,720","1,143,720","-335,000","1,631,520","2,775,240"
2017/5/14,162.48,268.807,7.1,"808,432","1,143,432","-335,000","1,533,600","2,677,032"
2017/5/15,162.44,268.492,23.4,"976,180","1,143,180","-167,000","1,719,360","2,862,540"
2017/5/16,162.5,269.009,24.7,"1,846,000",0,"1,846,000","3,103,920","3,103,920"
2017/5/17,162.76,271.272,9.2,"2,358,000",0,"2,358,000","3,394,800","3,394,800"
2017/5/18,162.94,272.68,0.4,"1,687,256","1,265,256","422,000","2,751,120","4,016,376"
2017/5/19,162.95,272.744,11.3,"1,466,696","1,635,696","-169,000","2,556,000","4,191,696"
2017/5/20,162.94,272.656,4.8,"1,551,840","1,635,840","-84,000","2,570,400","4,206,240"
2017/5/21,162.9,272.368,10.3,"1,622,812","2,212,812","-590,000","2,388,960","4,601,772"
2017/5/22,162.87,272.044,0.4,"2,048,268","2,216,268","-168,000","2,317,680","4,533,948"
2017/5/23,162.82,271.662,2.3,"1,626,296","2,215,296","-589,000","2,152,080","4,367,376"
2017/5/24,162.74,270.984,20.3,"1,882,536","2,218,536","-336,000","4,641,120","6,859,656"
2017/5/25,162.85,271.936,4.5,"2,567,960","1,641,960","926,000","7,480,800","9,122,760"
2017/5/26,162.86,271.981,0.5,"1,961,072","2,214,072","-253,000","4,654,800","6,868,872"
2017/5/27,162.74,271.037,20.8,"2,198,596","2,788,596","-590,000","4,226,400","7,014,996"
2017/5/28,162.74,271.03,5.5,"2,132,636","2,217,636","-85,000","3,924,000","6,141,636"
2017/5/29,162.81,271.644,8.5,"3,646,576","2,214,576","1,432,000","3,808,800","6,023,376"
2017/5/30,162.98,273.064,13.2,"3,309,272","2,212,272","1,097,000","3,776,400","5,988,672"
2017/5/31,163.04,273.483,0.9,"1,959,488","2,212,488","-253,000","3,359,520","5,572,008"
2017/6/1,162.98,272.997,0,"1,862,692","2,791,692","-929,000","2,908,800","5,700,492"
2017/6/2,163.16,274.764,109.5,"11,916,748","3,941,748","7,975,000","6,128,640","10,070,388"
2017/6/3,164.2,283.648,78.6,"16,184,404","6,814,404","9,370,000","17,992,800","24,807,204"
2017/6/4,165.5,294.802,25.1,"14,717,276","6,789,276","7,928,000","21,978,000","28,767,276"
2017/6/5,165.85,297.678,0.5,"6,595,268","6,770,268","-175,000","8,539,200","15,309,468"
2017/6/6,165.66,295.993,9.5,"4,244,104","6,781,104","-2,537,000","6,634,800","13,415,904"
2017/6/7,165.4,293.766,49.3,"6,014,808","6,797,808","-783,000","5,871,600","12,669,408"
2017/6/8,165.32,293.019,13.4,"4,973,056","6,802,056","-1,829,000","4,935,600","11,737,656"
2017/6/9,165.04,290.564,0.8,"3,645,360","6,768,360","-3,123,000","4,507,200","11,275,560"
2017/6/10,164.62,286.957,1.7,"2,809,864","6,777,864","-3,968,000","3,931,200","10,709,064"
2017/6/11,164.16,282.973,18.4,"3,266,368","6,868,368","-3,602,000","4,503,600","11,371,968"
2017/6/12,163.97,281.597,60.6,"9,317,436","5,630,436","3,687,000","9,680,400","15,310,836"
2017/6/13,164.42,285.233,17.7,"6,422,132","6,852,132","-430,000","7,063,200","13,915,332"
2017/6/14,164.25,283.816,42.8,"6,975,180","8,262,180","-1,287,000","7,671,600","15,933,780"
2017/6/15,164.09,282.43,42,"9,456,684","10,827,684","-1,371,000","9,255,600","20,083,284"
2017/6/16,164.04,282.002,17.1,"10,144,116","10,828,116","-684,000","9,540,000","20,368,116"
2017/6/17,163.88,280.726,53.3,"10,831,464","10,831,464",0,"10,375,200","21,206,664"
2017/6/18,163.99,281.592,20.4,"10,656,072","10,827,072","-171,000","10,159,200","20,986,272"
2017/6/19,163.81,279.997,0.3,"6,564,544","8,528,544","-1,964,000","7,794,000","16,322,544"
2017/6/20,163.56,277.892,0,"4,084,768","6,891,768","-2,807,000","5,817,600","12,709,368"
2017/6/21,163.16,274.442,0.7,"2,986,448","6,878,448","-3,892,000","4,514,400","11,392,848"
2017/6/22,162.66,270.218,0,"2,392,052","6,932,052","-4,540,000","3,668,400","10,600,452"
2017/6/23,162.1,265.52,14.1,"2,365,720","6,957,720","-4,592,000","4,071,600","11,029,320"
2017/6/24,161.59,261.374,41.4,"4,563,188","6,805,188","-2,242,000","3,722,400","10,527,588"
2017/6/25,161.71,262.359,0,"3,539,536","2,128,536","1,411,000","3,301,200","5,429,736"
2017/6/26,161.75,262.688,0.5,"1,951,988","2,117,988","-166,000","2,942,640","5,060,628"
2017/6/27,161.7,262.352,22.6,"2,449,196","2,117,196","332,000","2,727,000","4,844,196"
2017/6/28,161.82,263.221,1.1,"3,105,316","3,770,316","-665,000","2,730,960","6,501,276"
2017/6/29,161.65,261.799,0.1,"1,873,936","3,780,936","-1,907,000","2,448,000","6,228,936"
2017/6/30,161.39,259.7,0.2,"1,554,112","3,785,112","-2,231,000","2,327,040","6,112,152"
2017/7/1,161.15,257.752,38.8,"2,960,068","3,784,068","-824,000","3,187,800","6,971,868"
2017/7/2,161.06,256.945,0.1,"2,053,296","3,781,296","-1,728,000","3,206,160","6,987,456"
2017/7/3,160.87,255.362,8.5,"1,523,856","2,672,856","-1,149,000","2,990,520","5,663,376"
2017/7/4,160.69,253.882,4.9,"1,554,748","3,518,748","-1,964,000","3,685,680","7,204,428"
2017/7/5,160.4,251.63,0,"1,044,168","1,371,168","-327,000","3,174,840","4,546,008"
2017/7/6,160.43,251.834,0,"910,912","1,563,912","-653,000","2,712,960","4,276,872"
2017/7/7,160.36,251.365,43.5,"3,038,412","1,568,412","1,470,000","2,850,480","4,418,892"
2017/7/8,160.62,253.411,14.2,"2,809,516","1,581,516","1,228,000","2,947,320","4,528,836"
2017/7/9,160.73,254.326,7.3,"1,997,168","1,587,168","410,000","2,535,120","4,122,288"
2017/7/10,160.74,254.374,0.1,"1,417,192","1,581,192","-164,000","2,322,000","3,903,192"
2017/7/11,160.7,254.039,0.1,"964,120","1,455,120","-491,000","2,262,960","3,718,080"
2017/7/12,160.64,253.537,2.5,"963,004","1,454,004","-491,000","2,031,120","3,485,124"
2017/7/13,160.56,252.9,0,"720,560","1,456,560","-736,000","1,869,120","3,325,680"
2017/7/14,160.47,252.168,0,"641,288","1,458,288","-817,000","1,665,000","3,123,288"
2017/7/15,160.37,251.334,0,"643,648","1,458,648","-815,000","1,597,680","3,056,328"
2017/7/16,160.26,250.418,0,"483,700","1,460,700","-977,000","1,531,440","2,992,140"
2017/7/17,160.13,250.088,0,"605,768","1,743,768","-1,138,000","1,459,440","3,203,208"
2017/7/18,159.99,248.274,0,"489,364","1,463,364","-974,000","1,360,800","2,824,164"
2017/7/19,159.87,247.29,0,"494,892","1,466,892","-972,000","1,285,920","2,752,812"
2017/7/20,159.75,246.281,0,"416,684","1,467,684","-1,051,000","1,226,160","2,693,844"
2017/7/21,159.62,245.228,0,"338,476","1,468,476","-1,130,000","1,167,840","2,636,316"
2017/7/22,159.49,244.162,0,"421,304","1,469,304","-1,048,000","1,149,120","2,618,424"
2017/7/23,159.35,243.058,0.1,"426,256","1,472,256","-1,046,000","1,149,120","2,621,376"
2017/7/24,159.21,241.973,0,"365,004","1,490,004","-1,125,000","1,129,680","2,619,684"
2017/7/25,159.07,240.853,0,"353,568","1,475,568","-1,122,000","1,097,280","2,572,848"
2017/7/26,158.92,239.642,0,"400,348","1,758,348","-1,358,000","1,074,960","2,833,308"
2017/7/27,158.77,238.429,0,"327,180","1,602,180","-1,275,000","1,045,440","2,647,620"
2017/7/28,158.63,237.278,3.1,"410,892","2,474,892","-2,064,000","1,001,520","3,476,412"
2017/7/29,158.12,233.433,85.4,"4,988,544","4,433,544","555,000","7,173,000","11,606,544"
2017/7/30,159,240.39,13.1,"7,302,540","1,476,540","5,826,000","8,413,200","9,889,740"
2017/7/31,159.28,242.578,2.4,"2,358,920","1,474,920","884,000","3,349,800","4,824,720"
2017/8/1,159.33,242.967,0,"1,473,876","1,473,876",0,"2,487,600","3,961,476"
2017/8/2,159.36,243.162,21.9,"2,359,524","1,474,524","885,000","2,463,840","3,938,364"
2017/8/3,159.44,243.789,3.5,"1,390,924","1,470,924","-80,000","2,139,840","3,610,764"
2017/8/4,159.4,243.51,0.3,"1,070,408","1,473,408","-403,000","1,809,360","3,282,768"
2017/8/5,159.34,242.981,0,"831,812","1,474,812","-643,000","1,816,200","3,291,012"
2017/8/6,159.26,242.381,0,"797,224","2,323,224","-1,526,000","1,667,160","3,990,384"
2017/8/7,159.05,240.706,0,"599,292","1,481,292","-882,000","1,599,840","3,081,132"
2017/8/8,158.94,239.832,0.4,"616,296","1,495,296","-879,000","1,532,880","3,028,176"
2017/8/9,158.83,238.917,0,"603,536","1,480,536","-877,000","1,414,800","2,895,336"
2017/8/10,158.71,237.954,0,"447,228","1,482,228","-1,035,000","1,350,720","2,832,948"
2017/8/11,158.58,236.977,0.1,"532,504","1,485,504","-953,000","1,290,240","2,775,744"
2017/8/12,158.46,235.952,0,"452,884","1,483,884","-1,031,000","1,270,080","2,753,964"
2017/8/13,158.32,234.912,0,"376,244","1,484,244","-1,108,000","1,261,440","2,745,684"
2017/8/14,158.19,233.816,0,"382,260","1,486,260","-1,104,000","1,242,720","2,728,980"
2017/8/15,158.05,232.752,0,"460,740","1,483,740","-1,023,000","1,179,360","2,663,100"
2017/8/16,157.9,231.55,0,"355,844","1,766,844","-1,411,000","1,140,480","2,907,324"
2017/8/17,157.74,230.29,0,"435,440","1,765,440","-1,330,000","1,114,560","2,880,000"
2017/8/18,157.56,228.901,0,"279,904","1,760,904","-1,481,000","1,090,800","2,851,704"
2017/8/19,157.36,227.363,0,"443,568","1,763,568","-1,320,000","1,049,760","2,813,328"
2017/8/20,157.18,225.938,0,"316,544","1,787,544","-1,471,000","981,360","2,768,904"
2017/8/21,156.99,224.509,21.1,"401,812","1,789,812","-1,388,000","1,027,440","2,817,252"
2017/8/22,156.86,223.524,14.2,"731,148","1,499,148","-768,000","1,942,560","3,441,708"
2017/8/23,156.74,222.6,3.6,"591,092","1,510,092","-919,000","1,379,520","2,889,612"
2017/8/24,156.62,221.627,0.1,"518,064","1,511,064","-993,000","1,323,360","2,834,424"
2017/8/25,156.47,220.53,0.1,"296,240","1,515,240","-1,219,000","1,280,880","2,796,120"
2017/8/26,156.33,219.396,0,"304,120","1,518,120","-1,214,000","1,077,840","2,595,960"
2017/8/27,156.17,218.19,0.5,"372,144","1,809,144","-1,437,000","990,720","2,799,864"
2017/8/28,155.98,216.795,0,"384,184","1,814,184","-1,430,000","1,021,680","2,835,864"
2017/8/29,155.78,215.307,6.3,"317,388","1,817,388","-1,500,000","969,840","2,787,228"
2017/8/30,155.59,213.848,1.3,"399,388","1,817,388","-1,418,000","958,680","2,776,068"
2017/8/31,155.4,212.413,5.1,"338,632","1,825,632","-1,487,000","950,400","2,776,032"
2017/9/1,155.27,211.445,99.7,"4,439,500","1,534,500","2,905,000","6,629,400","8,163,900"
2017/9/2,156.86,223.513,80.9,"18,290,816","1,506,816","16,784,000","9,723,600","11,230,416"
2017/9/3,158.52,236.473,31.4,"10,611,488","1,501,488","9,110,000","9,507,600","11,009,088"
2017/9/4,159.39,243.428,0.1,"6,619,968","1,471,968","5,148,000","5,659,200","7,131,168"
2017/9/5,159.76,246.396,0.1,"3,083,748","1,466,748","1,617,000","4,496,400","5,963,148"
2017/9/6,159.87,247.283,0,"1,870,344","1,465,344","405,000","3,168,000","4,633,344"
2017/9/7,159.89,247.428,0.8,"1,382,660","1,464,660","-82,000","2,752,560","4,217,220"
2017/9/8,159.86,247.239,1.1,"1,223,028","1,466,028","-243,000","2,548,080","4,014,108"
2017/9/9,159.82,246.848,2.9,"980,668","1,465,668","-485,000","2,417,040","3,882,708"
2017/9/10,159.77,246.45,0.2,"1,105,968","2,722,968","-1,617,000","2,315,520","5,038,488"
2017/9/11,159.49,244.213,0.1,"1,047,040","3,866,040","-2,819,000","2,311,200","6,177,240"
2017/9/12,158.87,239.222,0.1,"1,195,892","6,785,892","-5,590,000","2,030,400","8,816,292"
2017/9/13,158.18,233.792,36,"1,666,880","6,797,880","-5,131,000","2,276,640","9,074,520"
2017/9/14,157.72,230.137,23.6,"3,608,768","4,470,768","-862,000","3,715,200","8,185,968"
2017/9/15,157.83,231.037,0,"2,119,784","1,493,784","626,000","2,583,360","4,077,144"
2017/9/16,157.86,231.246,0,"1,414,488","1,492,488","-78,000","2,160,000","3,652,488"
2017/9/17,157.82,230.949,0,"1,103,072","1,494,072","-391,000","1,922,400","3,416,472"
2017/9/18,157.75,230.394,0,"790,044","1,495,044","-705,000","1,814,400","3,309,444"
2017/9/19,157.67,229.749,0,"795,392","1,498,392","-703,000","1,658,880","3,157,272"
2017/9/20,157.58,229.017,0,"720,876","1,500,876","-780,000","1,594,080","3,094,956"
2017/9/21,157.48,228.225,0.2,"567,452","1,501,452","-934,000","1,542,240","3,043,692"
2017/9/22,157.34,227.169,2.9,"648,280","1,502,280","-854,000","1,482,480","2,984,760"
2017/9/23,157.22,226.248,0.1,"494,956","1,501,956","-1,007,000","1,393,200","2,895,156"
2017/9/24,157.09,225.271,0,"495,804","1,500,804","-1,005,000","1,550,880","3,051,684"
2017/9/25,156.96,224.255,0,"501,820","1,502,820","-1,001,000","1,391,040","2,893,860"
2017/9/26,156.83,223.207,0,"424,788","1,498,788","-1,074,000","1,296,000","2,794,788"
2017/9/27,156.67,222,0,"477,500","1,930,500","-1,453,000","1,179,360","3,109,860"
2017/9/28,156.48,220.572,12.6,"424,508","1,796,508","-1,372,000","1,097,280","2,893,788"
2017/9/29,156.37,219.693,27.3,"1,567,428","1,795,428","-228,000","1,205,280","3,000,708"
2017/9/30,156.4,219.968,0.1,"1,888,040","1,508,040","380,000","1,777,680","3,285,720"
2017/10/1,156.37,219.7,0.5,"1,015,180","1,926,180","-911,000","1,200,960","3,127,140"
2017/10/2,156.22,218.59,0,"739,560","1,951,560","-1,212,000","1,127,520","3,079,080"
2017/10/3,156.05,217.257,8.5,"664,992","2,248,992","-1,584,000","1,092,240","3,341,232"
2017/10/4,155.89,216.108,32.6,"1,152,344","1,528,344","-376,000","1,503,360","3,031,704"
2017/10/5,155.9,216.186,3.9,"1,830,064","1,529,064","301,000","1,771,200","3,300,264"
2017/10/6,155.9,216.18,18.1,"1,380,252","1,530,252","-150,000","1,743,120","3,273,372"
2017/10/7,156.04,217.323,12.7,"3,716,452","1,528,452","2,188,000","3,348,360","4,876,812"
2017/10/8,156.24,218.782,10.7,"2,288,820","1,529,820","759,000","8,131,320","9,661,140"
2017/10/9,156.33,219.458,11.8,"2,210,408","1,527,408","683,000","11,721,600","13,249,008"
2017/10/10,156.47,220.53,32.9,"3,433,480","1,527,480","1,906,000","5,724,000","7,251,480"
2017/10/11,156.86,223.602,38.2,"5,682,972","1,530,972","4,152,000","9,590,400","11,121,372"
2017/10/12,157.94,232.29,84.1,"16,067,772","1,505,772","14,562,000","22,118,400","23,624,172"
2017/10/13,159.84,247.823,151,"23,499,512","1,477,512","22,022,000","23,673,600","25,151,112"
2017/10/14,164.92,290.75,155.5,"54,657,640","7,145,640","47,512,000","78,624,000","85,769,640"
2017/10/15,168.01,316.968,60.4,"35,844,708","27,264,708","8,580,000","31,665,600","58,930,308"
2017/10/16,167.81,314.995,0.9,"11,888,404","16,102,404","-4,214,000","21,664,800","37,767,204"
2017/10/17,167.65,313.582,8.8,"5,152,728","6,670,728","-1,518,000","13,240,800","19,911,528"
2017/10/18,167.4,311.382,20.7,"4,368,912","6,684,912","-2,316,000","9,547,200","16,232,112"
2017/10/19,167.24,309.991,31.1,"6,512,924","6,690,924","-178,000","8,488,800","15,179,724"
2017/10/20,167.34,310.952,31.3,"8,197,400","6,683,400","1,514,000","9,003,600","15,687,000"
2017/10/21,167.51,312.433,8.2,"7,476,392","6,673,392","803,000","9,378,000","16,051,392"
2017/10/22,167.43,311.605,0.2,"4,630,008","6,679,008","-2,049,000","6,998,400","13,677,408"
2017/10/23,167.1,308.681,0.3,"3,225,376","6,689,376","-3,464,000","5,680,800","12,370,176"
2017/10/24,166.89,306.806,2.6,"2,014,760","3,254,760","-1,240,000","4,687,200","7,941,960"
2017/10/25,166.77,305.791,1.1,"1,655,708","2,982,708","-1,327,000","3,866,400","6,849,108"
2017/10/26,166.57,303.985,0.1,"1,412,496","3,266,496","-1,854,000","3,391,200","6,657,696"
2017/10/27,166.36,302.117,3.7,"1,420,312","3,270,312","-1,850,000","3,031,200","6,301,512"
2017/10/28,166.14,300.206,9.3,"1,343,252","3,276,252","-1,933,000","2,844,000","6,120,252"
2017/10/29,165.92,298.26,5.8,"1,269,188","3,286,188","-2,017,000","2,609,280","5,895,468"
2017/10/30,165.69,296.219,4.1,"1,280,660","3,291,660","-2,011,000","2,367,360","5,659,020"
2017/10/31,165.45,294.123,6.1,"1,207,392","3,298,392","-2,091,000","2,203,200","5,501,592"
2017/11/1,165.29,292.793,4,"1,078,848","1,600,848","-522,000","2,155,680","3,756,528"
2017/11/2,165.24,292.348,0.5,"1,168,396","1,602,396","-434,000","1,969,920","3,572,316"
2017/11/3,165.19,291.963,20.6,"1,429,908","1,603,908","-174,000","2,132,640","3,736,548"
2017/11/4,165.27,292.721,17.7,"3,601,380","1,600,380","2,001,000","3,961,800","5,562,180"
2017/11/5,165.54,294.991,3.9,"3,427,304","1,595,304","1,832,000","3,952,800","5,548,104"
2017/11/6,165.71,296.481,6.3,"2,730,360","1,593,360","1,137,000","3,952,800","5,546,160"
2017/11/7,165.83,297.54,1.8,"2,645,620","1,594,620","1,051,000","3,153,600","4,748,220"
2017/11/8,165.92,298.322,14,"2,210,520","1,595,520","615,000","3,067,200","4,662,720"
2017/11/9,166.12,300.108,22.3,"4,751,644","1,588,644","3,163,000","4,449,600","6,038,244"
2017/11/10,166.49,303.308,2.1,"4,230,288","1,584,288","2,646,000","4,989,600","6,573,888"
2017/11/11,166.72,305.374,18.9,"3,499,252","1,818,252","1,681,000","3,907,800","5,726,052"
2017/11/12,166.63,304.611,10.9,"4,772,464","6,718,464","-1,946,000","4,147,200","10,865,664"
2017/11/13,166.57,303.749,41.1,"7,522,104","6,727,104","795,000","5,443,200","12,170,304"
2017/11/14,166.61,304.43,12.8,"6,191,740","6,721,740","-530,000","6,156,000","12,877,740"
2017/11/15,166.46,302.995,2.6,"4,619,140","6,736,140","-2,117,000","5,421,600","12,157,740"
2017/11/16,166.15,300.302,2.7,"3,570,320","6,736,320","-3,166,000","4,773,600","11,509,920"
2017/11/17,165.87,297.843,0.1,"2,541,092","4,120,092","-1,579,000","3,790,800","7,910,892"
2017/11/18,165.81,297.364,38,"3,335,752","2,722,752","613,000","4,201,200","6,923,952"
2017/11/19,165.95,298.567,22.2,"5,569,556","4,691,556","878,000","6,264,000","10,955,556"
2017/11/20,165.98,298.892,27.6,"7,462,864","6,759,864","703,000","7,192,800","13,952,664"
2017/11/21,166.11,300.02,13.7,"7,895,528","6,753,528","1,142,000","7,322,400","14,075,928"
2017/11/22,166.1,299.859,6.5,"5,262,148","6,755,148","-1,493,000","5,745,600","12,500,748"
